"sample_id","transcriptome_diversity","group"
"GTEX-1122O-1426-SM-5H11R",0.798771506697683,"arora_gtex_mskcc_colon"
"GTEX-117XS-2226-SM-5GIE1",0.771020658624504,"arora_gtex_mskcc_colon"
"GTEX-117YX-0526-SM-5EGJH",0.801171225400496,"arora_gtex_mskcc_colon"
"GTEX-11DXX-1926-SM-5EGJK",0.798662471204977,"arora_gtex_mskcc_colon"
"GTEX-11DXY-2026-SM-5N9CZ",0.789605212379301,"arora_gtex_mskcc_colon"
"GTEX-11DXZ-1626-SM-5GIDI",0.76981644262899,"arora_gtex_mskcc_colon"
"GTEX-11EI6-2626-SM-5PNVT",0.781685772326794,"arora_gtex_mskcc_colon"
"GTEX-11EMC-1426-SM-5N9E4",0.773867083630547,"arora_gtex_mskcc_colon"
"GTEX-11EQ9-1526-SM-5PNY7",0.792350539487627,"arora_gtex_mskcc_colon"
"GTEX-11GS4-1826-SM-5HL4T",0.781292811708509,"arora_gtex_mskcc_colon"
"GTEX-11I78-1326-SM-5PNY9",0.782314651275752,"arora_gtex_mskcc_colon"
"GTEX-11ONC-1926-SM-5GU75",0.786879301771571,"arora_gtex_mskcc_colon"
"GTEX-11P7K-1826-SM-5HL5A",0.760961423730463,"arora_gtex_mskcc_colon"
"GTEX-11P81-1426-SM-5P9JN",0.780174655278635,"arora_gtex_mskcc_colon"
"GTEX-11PRG-2026-SM-5GU5F",0.788436318495203,"arora_gtex_mskcc_colon"
"GTEX-11TT1-0926-SM-5GU5M",0.782770358902347,"arora_gtex_mskcc_colon"
"GTEX-11TUW-2326-SM-5EQMO",0.778167139368691,"arora_gtex_mskcc_colon"
"GTEX-11ZTS-1526-SM-5N9G7",0.762442272052846,"arora_gtex_mskcc_colon"
"GTEX-11ZTT-1626-SM-5EQKR",0.773488711435183,"arora_gtex_mskcc_colon"
"GTEX-11ZU8-1126-SM-5EQ5K",0.765167344582867,"arora_gtex_mskcc_colon"
"GTEX-1211K-1826-SM-5EGJ2",0.801072809127199,"arora_gtex_mskcc_colon"
"GTEX-1212Z-1826-SM-5FQSH",0.780644539247674,"arora_gtex_mskcc_colon"
"GTEX-12696-1926-SM-5EGJT",0.789293186059565,"arora_gtex_mskcc_colon"
"GTEX-12BJ1-2026-SM-5FQUH",0.781995553255737,"arora_gtex_mskcc_colon"
"GTEX-12WSG-2426-SM-5EQLZ",0.784608311846888,"arora_gtex_mskcc_colon"
"GTEX-12WSJ-1426-SM-5GCON",0.781181559336761,"arora_gtex_mskcc_colon"
"GTEX-12WSL-1826-SM-5LZW9",0.797723238657886,"arora_gtex_mskcc_colon"
"GTEX-12ZZX-2726-SM-5N9FT",0.766052936737109,"arora_gtex_mskcc_colon"
"GTEX-12ZZY-2726-SM-5EQ45",0.781851171926446,"arora_gtex_mskcc_colon"
"GTEX-13111-1926-SM-5GCOL",0.804565829452983,"arora_gtex_mskcc_colon"
"GTEX-131XE-1026-SM-5EGKE",0.786584896239862,"arora_gtex_mskcc_colon"
"GTEX-131XG-1526-SM-5GCNQ",0.804777634339426,"arora_gtex_mskcc_colon"
"GTEX-131YS-2926-SM-5EGKI",0.775879892973806,"arora_gtex_mskcc_colon"
"GTEX-132AR-2826-SM-5IJFV",0.793286217445304,"arora_gtex_mskcc_colon"
"GTEX-132NY-2726-SM-5PNY2",0.77906334125257,"arora_gtex_mskcc_colon"
"GTEX-1339X-1726-SM-5P9J9",0.775991672995836,"arora_gtex_mskcc_colon"
"GTEX-1399R-2126-SM-5K7WZ",0.770133978136688,"arora_gtex_mskcc_colon"
"GTEX-13CF2-1826-SM-5N9GK",0.764793738256996,"arora_gtex_mskcc_colon"
"GTEX-13CF3-1326-SM-5LZXZ",0.763927183360878,"arora_gtex_mskcc_colon"
"GTEX-13D11-0626-SM-5LZYY",0.783070536245701,"arora_gtex_mskcc_colon"
"GTEX-13FH7-1626-SM-5J2O9",0.786443998436346,"arora_gtex_mskcc_colon"
"GTEX-13FHO-2726-SM-5K7VG",0.771220136670054,"arora_gtex_mskcc_colon"
"GTEX-13G51-2126-SM-5IJD9",0.75452853711476,"arora_gtex_mskcc_colon"
